Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",28.041600,85.852000,0.000000,top
"C2","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",14.907600,85.852000,0.000000,top
"C3","27pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",32.816800,64.249300,0.000000,top
"C4","27pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",19.608800,65.582800,180.000000,top
"C5","12-22 pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",32.816800,56.692800,0.000000,top
"C6","12-22pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",32.816800,61.315600,0.000000,top
"C7","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",22.860000,52.959000,0.000000,top
"C8","1uF","CP_EIA-1608-10_AVX-L_Pad1.25x1.05mm_HandSolder",3.296600,68.910200,0.000000,top
"D1","1N4007","D_SMA_Handsoldering",3.276600,79.895700,0.000000,top
"D2","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",20.891500,50.165000,0.000000,top
"D3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",10.985500,69.913500,90.000000,top
"F1","fuse 1A","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",3.276600,75.450700,180.000000,top
"J1","UART","PinHeader_2x02_P2.54mm_Vertical",4.635500,54.483000,0.000000,top
"J2","ICSP","PinHeader_2x03_P2.54mm_Vertical",14.541500,74.930000,0.000000,top
"J3","CAR","JST_XH_S8B-XH-A-1_1x08_P2.50mm_Horizontal",24.447500,91.249500,180.000000,top
"R1","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",3.403600,85.852000,180.000000,top
"R2","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",21.474600,85.852000,180.000000,top
"R3","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",26.289000,50.165000,180.000000,top
"R4","5k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",11.938000,50.165000,0.000000,top
"R5","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",13.004800,65.582800,0.000000,top
"R6","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",3.276600,71.780400,0.000000,top
"SW1","SW_Push-Switch","SW_PUSH_6mm_H5mm",0.190500,64.198500,0.000000,top
"U1","MCP2515-xSO","SOIC-18W_7.5x11.6mm_P1.27mm",28.067000,78.028800,0.000000,top
"U2","TJA1050T","SOIC-8_3.9x4.9mm_P1.27mm",14.579600,80.365600,0.000000,top
"U3","ATmega328P-PU","TQFP-32_7x7mm_P0.8mm",16.256000,57.467500,135.000000,top
"U4","MP2307","MP2307",7.683500,83.312000,-90.000000,top
"Y1","8MHz","Crystal_HC49-4H_Vertical",30.581600,68.427600,180.000000,top
"Y2","16MHz","Crystal_HC49-4H_Vertical",27.228800,61.264800,-90.000000,top
